epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,9515.96,0.9463,0.68502,0.92771,0.38606,0.8175,0.36939,0.21588,1.24948,1.53162,0.92749,0.000495291,0.000495291,0.000495291
35,9884.57,0.96127,0.67102,0.93591,0.37621,0.7962,0.38228,0.21931,1.21911,1.3745,0.915,0.000466997,0.000466997,0.000466997
36,10248.1,0.93586,0.6746,0.92483,0.38533,0.7992,0.38049,0.22572,1.23776,1.33338,0.92731,0.000438703,0.000438703,0.000438703
37,10611.8,0.92681,0.66406,0.92397,0.38957,0.79019,0.37283,0.22054,1.23106,1.54158,0.93335,0.000410409,0.000410409,0.000410409
38,10976.8,0.90607,0.66277,0.91844,0.38825,0.81338,0.3771,0.22724,1.20291,1.56258,0.92817,0.000382115,0.000382115,0.000382115
39,11365.4,0.89632,0.65422,0.91284,0.38379,0.81542,0.3656,0.21621,1.24056,1.52519,0.93672,0.00035382,0.00035382,0.00035382
40,11758.3,0.89064,0.65564,0.91583,0.39012,0.81562,0.38044,0.22361,1.19875,1.37633,0.92241,0.000325526,0.000325526,0.000325526
41,12139.8,0.86893,0.65852,0.89184,0.39175,0.81634,0.37833,0.22575,1.23662,1.33546,0.92808,0.000297232,0.000297232,0.000297232
42,12475,0.8477,0.62735,0.88736,0.38849,0.8161,0.37556,0.22352,1.21648,1.33659,0.92277,0.000268938,0.000268938,0.000268938
43,12728.5,0.81604,0.5993,0.87534,0.3888,0.83343,0.37743,0.21481,1.2358,1.31608,0.92627,0.000240644,0.000240644,0.000240644
44,12983.7,0.82163,0.60407,0.88197,0.38455,0.83043,0.37133,0.22276,1.17825,1.35138,0.92064,0.000212349,0.000212349,0.000212349
45,13233.4,0.79931,0.59071,0.88058,0.38323,0.83343,0.37015,0.22672,1.18,1.40923,0.92197,0.000184055,0.000184055,0.000184055
46,13486.9,0.79495,0.59146,0.86732,0.39119,0.81692,0.37447,0.22643,1.19119,1.35349,0.92397,0.000155761,0.000155761,0.000155761
47,13741,0.78995,0.58403,0.86974,0.39231,0.81101,0.373,0.22185,1.20094,1.39697,0.92508,0.000127467,0.000127467,0.000127467
48,13994.6,0.77665,0.58367,0.86475,0.39204,0.82193,0.38136,0.23055,1.20866,1.32427,0.92732,9.91726e-05,9.91726e-05,9.91726e-05
49,14251.2,0.76549,0.58291,0.85992,0.38959,0.81702,0.37363,0.2261,1.18439,1.35061,0.9219,7.08784e-05,7.08784e-05,7.08784e-05
50,14504,0.76366,0.5767,0.86661,0.39249,0.8215,0.37575,0.22939,1.19674,1.33378,0.92307,4.25842e-05,4.25842e-05,4.25842e-05
