epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,258.509,1.59653,2.51543,1.16597,0.00469,0.44962,0.00654,0.0035,1.39395,4.29624,0.97959,0.000466993,0.000466993,0.000466993
2,518.11,1.36618,1.54994,1.08233,0.27565,0.23126,0.25647,0.14706,1.45715,3.04831,0.97126,0.000924649,0.000924649,0.000924649
3,780.019,1.38486,1.39062,1.08016,0.33758,0.3443,0.28344,0.14263,1.61241,2.86376,1.08142,0.00136344,0.00136344,0.00136344
4,1030.43,1.33462,1.25868,1.07136,0.33226,0.57357,0.29015,0.15517,1.6067,2.19623,1.05301,0.00134412,0.00134412,0.00134412
5,1291.32,1.28289,1.13419,1.04597,0.38863,0.67875,0.33283,0.17147,1.37156,1.97564,0.95684,0.00131582,0.00131582,0.00131582
6,1551.97,1.23862,1.06748,1.03662,0.36814,0.75648,0.33655,0.1812,1.30968,2.24427,0.96133,0.00128753,0.00128753,0.00128753
7,1810.96,1.26579,1.05751,1.04168,0.37555,0.65465,0.33663,0.19416,1.29472,2.00963,0.95094,0.00125923,0.00125923,0.00125923
8,2068.26,1.21844,0.98401,1.01318,0.37173,0.73934,0.33397,0.18933,1.35368,1.82046,0.94519,0.00123094,0.00123094,0.00123094
9,2328.99,1.22884,0.93207,1.01864,0.36479,0.6933,0.33929,0.17789,1.39684,1.67755,0.96028,0.00120265,0.00120265,0.00120265
10,2585.25,1.21234,0.90908,1.01892,0.36191,0.72472,0.34911,0.19238,1.36583,1.71116,0.96225,0.00117435,0.00117435,0.00117435
11,2837.29,1.19514,0.87799,1.01141,0.39261,0.74746,0.36277,0.20887,1.27251,1.55762,0.95295,0.00114606,0.00114606,0.00114606
12,3094.17,1.17781,0.85069,1.00802,0.39683,0.79159,0.36136,0.20127,1.3535,1.72881,0.95379,0.00111776,0.00111776,0.00111776
13,3348.21,1.14009,0.8671,0.9907,0.37162,0.74872,0.35972,0.19315,1.38838,1.55701,0.96516,0.00108947,0.00108947,0.00108947
14,3608.73,1.13879,0.83944,0.99272,0.38066,0.74784,0.35414,0.20432,1.26771,1.80413,0.93945,0.00106118,0.00106118,0.00106118
15,3868.53,1.17989,0.85153,1.00479,0.36616,0.76499,0.34645,0.20426,1.24884,1.58216,0.94727,0.00103288,0.00103288,0.00103288
16,4123.02,1.13051,0.83543,0.98935,0.37122,0.77407,0.36658,0.20328,1.28504,1.50133,0.94489,0.00100459,0.00100459,0.00100459
17,4379.81,1.09099,0.812,0.9757,0.38544,0.74374,0.36142,0.20878,1.30243,1.6036,0.95278,0.000976293,0.000976293,0.000976293
18,4638.67,1.11891,0.79669,0.98252,0.37441,0.75394,0.35774,0.19824,1.29286,1.56746,0.94607,0.000947999,0.000947999,0.000947999
19,4896.35,1.08459,0.79778,0.96938,0.39077,0.75669,0.35039,0.208,1.26244,1.49149,0.92625,0.000919704,0.000919704,0.000919704
20,5154.23,1.06789,0.76969,0.97029,0.37389,0.78118,0.35651,0.1921,1.36084,1.51862,0.95811,0.00089141,0.00089141,0.00089141
21,5410.83,1.08224,0.76041,0.97617,0.37577,0.78418,0.36349,0.20341,1.30271,1.43569,0.95208,0.000863116,0.000863116,0.000863116
22,5662.01,1.04418,0.74715,0.95907,0.3848,0.76036,0.36844,0.21827,1.24977,1.48803,0.94079,0.000834822,0.000834822,0.000834822
23,5913.54,1.08659,0.75435,0.96912,0.38917,0.78418,0.35875,0.21652,1.24447,1.44613,0.93562,0.000806528,0.000806528,0.000806528
24,6173.27,1.03504,0.72984,0.95364,0.38913,0.8036,0.36876,0.21117,1.2847,1.45941,0.93335,0.000778233,0.000778233,0.000778233
25,6425.05,1.03338,0.72255,0.95729,0.38892,0.75808,0.36895,0.21104,1.28352,1.49193,0.93754,0.000749939,0.000749939,0.000749939
26,6678.99,1.01693,0.72008,0.9533,0.39123,0.8271,0.37311,0.21021,1.23846,1.43337,0.9283,0.000721645,0.000721645,0.000721645
27,6937.5,1.02527,0.70825,0.95686,0.38436,0.77252,0.37051,0.22377,1.20547,1.48671,0.92858,0.000693351,0.000693351,0.000693351
28,7275.33,0.99227,0.71701,0.93802,0.3893,0.80258,0.36021,0.20518,1.27688,1.4315,0.92814,0.000665057,0.000665057,0.000665057
29,7653.44,0.99116,0.72208,0.95059,0.3895,0.7962,0.36548,0.20292,1.20196,1.35269,0.92925,0.000636762,0.000636762,0.000636762
30,8029.34,0.98296,0.69456,0.93899,0.37248,0.80079,0.34535,0.19771,1.30084,1.42292,0.93947,0.000608468,0.000608468,0.000608468
31,8398.91,1.0039,0.72021,0.94788,0.3792,0.8036,0.35998,0.20712,1.28721,1.46992,0.93785,0.000580174,0.000580174,0.000580174
32,8771.89,0.98203,0.69239,0.93977,0.38811,0.78438,0.37809,0.22337,1.20502,1.34606,0.92353,0.00055188,0.00055188,0.00055188
33,9149.05,0.93911,0.66445,0.93022,0.39153,0.80661,0.37686,0.21852,1.25032,1.36172,0.93182,0.000523586,0.000523586,0.000523586
