epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.0043,1.47968,3.34369,1.05198,0.00705,0.68182,0.38423,0.21244,1.25852,3.52657,0.91982,0.00017148,0.00017148,0.00017148
2,139.787,1.35761,1.84429,1.02464,0.01034,0.66667,0.29983,0.17514,1.15566,3.52291,0.92536,0.000350176,0.000350176,0.000350176
3,202.123,1.2845,1.38116,1.03073,0.01037,0.66667,0.01239,0.00723,1.18058,3.63114,0.97136,0.000521516,0.000521516,0.000521516
4,263.677,1.2728,1.21981,1.03062,0.00909,0.71212,0.0859,0.05563,1.16945,3.19374,0.92686,0.0006855,0.0006855,0.0006855
5,326.116,1.28235,1.13304,1.02529,0.00837,0.72727,0.58116,0.3641,1.27297,2.96232,0.9752,0.000842127,0.000842127,0.000842127
6,389.875,1.24836,1.08725,1.01467,0.59806,0.68182,0.67542,0.43887,1.25145,2.70485,0.94876,0.000991397,0.000991397,0.000991397
7,450.271,1.26157,1.02841,1.02056,1,0.24568,0.67866,0.4072,1.41121,2.41335,1.0002,0.00113331,0.00113331,0.00113331
8,510.474,1.22403,1.01496,0.99661,0.977,0.60318,0.7761,0.42435,1.40676,1.93047,1.00568,0.00123094,0.00123094,0.00123094
9,570.717,1.24147,1.00552,1.00575,0.91909,0.79545,0.81662,0.47702,1.22636,1.26698,0.9483,0.00120265,0.00120265,0.00120265
10,632.537,1.19897,0.96628,0.98971,0.89301,0.82576,0.82997,0.48107,1.2499,1.07266,0.97491,0.00117435,0.00117435,0.00117435
11,695.979,1.21175,0.94803,0.99264,0.84558,0.80394,0.80544,0.42778,1.44916,0.93292,1.00875,0.00114606,0.00114606,0.00114606
12,759.306,1.19419,0.92784,0.97767,0.91199,0.82576,0.85015,0.51155,1.19113,0.89261,0.93756,0.00111776,0.00111776,0.00111776
13,822.66,1.19432,0.88017,0.9991,0.90117,0.81061,0.82396,0.46021,1.39811,0.88569,1.03081,0.00108947,0.00108947,0.00108947
14,883.631,1.17081,0.88705,0.98459,0.93428,0.8465,0.87218,0.50375,1.22256,0.89263,0.96149,0.00106118,0.00106118,0.00106118
15,946.159,1.13348,0.83749,0.97103,0.91642,0.86364,0.86087,0.50588,1.20852,0.77325,0.96371,0.00103288,0.00103288,0.00103288
16,1009.65,1.11616,0.8179,0.96657,0.92907,0.85606,0.86008,0.54565,1.14343,0.77485,0.94292,0.00100459,0.00100459,0.00100459
17,1074.06,1.11374,0.77584,0.96564,0.93826,0.84848,0.85852,0.53056,1.23189,0.7933,0.95878,0.000976293,0.000976293,0.000976293
18,1138.29,1.12835,0.7826,0.96779,0.88388,0.82576,0.83232,0.52844,1.12279,0.77511,0.94017,0.000947999,0.000947999,0.000947999
19,1201.93,1.13983,0.77208,0.97841,0.89798,0.84091,0.82884,0.53806,1.12661,0.74479,0.93643,0.000919704,0.000919704,0.000919704
20,1266.37,1.08484,0.74963,0.96656,0.86904,0.86288,0.83228,0.51673,1.20337,0.77769,0.95461,0.00089141,0.00089141,0.00089141
21,1330.49,1.12082,0.76195,0.97481,0.86604,0.85929,0.83822,0.5247,1.17536,0.75078,0.9581,0.000863116,0.000863116,0.000863116
22,1393.85,1.09499,0.73033,0.97398,0.87515,0.86617,0.84827,0.51673,1.18894,0.72384,0.94591,0.000834822,0.000834822,0.000834822
23,1457.66,1.06696,0.71305,0.94843,0.90205,0.85606,0.85574,0.53934,1.12073,0.67761,0.93647,0.000806528,0.000806528,0.000806528
24,1520.72,1.08988,0.69789,0.94998,0.94142,0.86364,0.87137,0.52477,1.17902,0.70344,0.94565,0.000778233,0.000778233,0.000778233
25,1584,1.09889,0.69565,0.94748,0.90921,0.84091,0.8463,0.52388,1.16862,0.67805,0.96385,0.000749939,0.000749939,0.000749939
26,1647.57,1.11555,0.69372,0.96128,0.92629,0.86364,0.86318,0.51899,1.2031,0.68242,0.95211,0.000721645,0.000721645,0.000721645
27,1711.58,1.08183,0.67799,0.96733,0.93458,0.84848,0.85471,0.54382,1.12102,0.66208,0.94734,0.000693351,0.000693351,0.000693351
28,1775.65,1.0569,0.67771,0.94543,0.91795,0.84639,0.85406,0.52749,1.2044,0.66072,0.95745,0.000665057,0.000665057,0.000665057
29,1839.49,1.07911,0.65744,0.95005,0.88429,0.85606,0.85615,0.55642,1.12187,0.68146,0.94693,0.000636762,0.000636762,0.000636762
30,1903.82,1.08472,0.69311,0.96596,0.91099,0.86364,0.86458,0.54365,1.17626,0.66997,0.95417,0.000608468,0.000608468,0.000608468
