epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,1967.94,1.0963,0.67397,0.95309,0.9478,0.86364,0.87471,0.55842,1.07163,0.6535,0.93474,0.000580174,0.000580174,0.000580174
32,2032.39,1.02766,0.6462,0.94675,0.92499,0.86364,0.86874,0.5427,1.15359,0.65055,0.94653,0.00055188,0.00055188,0.00055188
33,2096.38,1.03393,0.63479,0.93485,0.90283,0.87121,0.87339,0.56745,1.08538,0.62726,0.92082,0.000523586,0.000523586,0.000523586
34,2160.13,1.00243,0.61946,0.93618,0.94055,0.87184,0.89642,0.5703,1.06705,0.61499,0.92309,0.000495291,0.000495291,0.000495291
35,2223.67,1.00829,0.6063,0.931,0.93193,0.84848,0.86655,0.55016,1.11972,0.61638,0.9277,0.000466997,0.000466997,0.000466997
36,2288.06,1.00844,0.60515,0.93404,0.88699,0.86364,0.85485,0.54147,1.12535,0.625,0.9423,0.000438703,0.000438703,0.000438703
37,2352.4,1.00811,0.61146,0.9313,0.91109,0.84848,0.8597,0.55649,1.11352,0.60747,0.93554,0.000410409,0.000410409,0.000410409
38,2416.16,0.95496,0.58789,0.90909,0.8787,0.86364,0.86108,0.56355,1.10306,0.60326,0.9293,0.000382115,0.000382115,0.000382115
39,2480.34,0.96813,0.58353,0.91982,0.90645,0.85606,0.8604,0.55745,1.11172,0.59814,0.9296,0.00035382,0.00035382,0.00035382
40,2544.73,0.96679,0.58442,0.9253,0.91007,0.86364,0.85718,0.56527,1.07106,0.58757,0.92152,0.000325526,0.000325526,0.000325526
41,2607.9,0.96788,0.63992,0.91694,0.9128,0.86364,0.86234,0.5616,1.10673,0.60011,0.93523,0.000297232,0.000297232,0.000297232
42,2670.74,0.95593,0.62834,0.90114,0.89705,0.86364,0.85993,0.55974,1.0694,0.60607,0.92044,0.000268938,0.000268938,0.000268938
43,2733.74,0.93409,0.60433,0.89956,0.89416,0.86296,0.86276,0.57223,1.05771,0.59892,0.92417,0.000240644,0.000240644,0.000240644
44,2795.33,0.92905,0.60005,0.90055,0.89146,0.87572,0.87032,0.57344,1.04263,0.58107,0.9224,0.000212349,0.000212349,0.000212349
45,2858.27,0.91067,0.58623,0.89818,0.91791,0.87121,0.87037,0.55938,1.07481,0.58516,0.92076,0.000184055,0.000184055,0.000184055
46,2921.65,0.9354,0.59725,0.89353,0.90573,0.87879,0.87277,0.56023,1.05158,0.58437,0.9201,0.000155761,0.000155761,0.000155761
47,2999.84,0.90803,0.57787,0.89077,0.90765,0.87879,0.87496,0.56949,1.04766,0.57686,0.91903,0.000127467,0.000127467,0.000127467
48,3093.89,0.89142,0.5643,0.89527,0.91924,0.88636,0.88052,0.56912,1.05657,0.56766,0.91684,9.91726e-05,9.91726e-05,9.91726e-05
49,3189.12,0.90156,0.56912,0.88865,0.91502,0.88636,0.88042,0.56529,1.06442,0.5656,0.91676,7.08784e-05,7.08784e-05,7.08784e-05
50,3284.39,0.88637,0.55509,0.89111,0.91626,0.88127,0.88096,0.565,1.0662,0.56671,0.91655,4.25842e-05,4.25842e-05,4.25842e-05
